,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bylevel,param_colsample_bytree,param_eta,param_gamma,param_max_delta_step,param_max_depth,param_min_child_weight,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
5011,0.1312565008799235,0.007364290758490321,0.0,0.0,1,0.8,0.4,1,2,6,3,0.9,"{'colsample_bylevel': 1, 'colsample_bytree': 0.8, 'eta': 0.4, 'gamma': 1, 'max_delta_step': 2, 'max_depth': 6, 'min_child_weight': 3, 'subsample': 0.9}",0.9552238805970149,0.9393939393939394,0.9924242424242424,0.9623115577889447,0.02217757965576378,748
1543,0.14965645472208658,0.000903904888487171,0.0,0.0,0.8,1,0.2,1,0,5,2,0.9,"{'colsample_bylevel': 0.8, 'colsample_bytree': 1, 'eta': 0.2, 'gamma': 1, 'max_delta_step': 0, 'max_depth': 5, 'min_child_weight': 2, 'subsample': 0.9}",0.9626865671641791,0.9393939393939394,0.9848484848484849,0.9623115577889447,0.018511984856536014,748
5721,0.13315598169962564,0.0130728176520241,0.0,0.0,1,0.9,0.4,1,1,7,3,0.8,"{'colsample_bylevel': 1, 'colsample_bytree': 0.9, 'eta': 0.4, 'gamma': 1, 'max_delta_step': 1, 'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.8}",0.9701492537313433,0.9393939393939394,0.9772727272727273,0.9623115577889447,0.016404639537016614,748
5722,0.1391619841257731,0.008287306724798087,0.0,0.0,1,0.9,0.4,1,1,7,3,0.9,"{'colsample_bylevel': 1, 'colsample_bytree': 0.9, 'eta': 0.4, 'gamma': 1, 'max_delta_step': 1, 'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.9}",0.9701492537313433,0.9393939393939394,0.9772727272727273,0.9623115577889447,0.016404639537016614,748
6306,0.1275634765625,0.00837227312984973,0.005206743876139323,0.007363447805439289,1,1,0.3,2,2,6,3,0.8,"{'colsample_bylevel': 1, 'colsample_bytree': 1, 'eta': 0.3, 'gamma': 2, 'max_delta_step': 2, 'max_depth': 6, 'min_child_weight': 3, 'subsample': 0.8}",0.9626865671641791,0.9393939393939394,0.9848484848484849,0.9623115577889447,0.018511984856536014,748
1591,0.1392244497934977,0.008395877008818949,0.0,0.0,0.8,1,0.2,1,1,7,3,0.9,"{'colsample_bylevel': 0.8, 'colsample_bytree': 1, 'eta': 0.2, 'gamma': 1, 'max_delta_step': 1, 'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.9}",0.9626865671641791,0.9393939393939394,0.9848484848484849,0.9623115577889447,0.018511984856536014,748
1590,0.13936551411946616,0.008277753439135617,0.0,0.0,0.8,1,0.2,1,1,7,3,0.8,"{'colsample_bylevel': 0.8, 'colsample_bytree': 1, 'eta': 0.2, 'gamma': 1, 'max_delta_step': 1, 'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.8}",0.9701492537313433,0.9393939393939394,0.9772727272727273,0.9623115577889447,0.016404639537016614,748
1582,0.1333614190419515,5.619579801452538e-07,0.005207220713297526,0.007364122155015463,0.8,1,0.2,1,1,6,3,0.9,"{'colsample_bylevel': 0.8, 'colsample_bytree': 1, 'eta': 0.2, 'gamma': 1, 'max_delta_step': 1, 'max_depth': 6, 'min_child_weight': 3, 'subsample': 0.9}",0.9626865671641791,0.9393939393939394,0.9848484848484849,0.9623115577889447,0.018511984856536014,748
1581,0.13924511273701987,0.008261846130073596,0.005206664403279622,0.00736333541384326,0.8,1,0.2,1,1,6,3,0.8,"{'colsample_bylevel': 0.8, 'colsample_bytree': 1, 'eta': 0.2, 'gamma': 1, 'max_delta_step': 1, 'max_depth': 6, 'min_child_weight': 3, 'subsample': 0.8}",0.9701492537313433,0.9393939393939394,0.9772727272727273,0.9623115577889447,0.016404639537016614,748
5728,0.15639114379882812,0.015069826413962838,0.00520777702331543,0.0073649088961876665,1,0.9,0.4,1,2,5,2,0.9,"{'colsample_bylevel': 1, 'colsample_bytree': 0.9, 'eta': 0.4, 'gamma': 1, 'max_delta_step': 2, 'max_depth': 5, 'min_child_weight': 2, 'subsample': 0.9}",0.9626865671641791,0.9393939393939394,0.9848484848484849,0.9623115577889447,0.018511984856536014,748
4751,0.1364408334096273,0.0073634478054392894,0.00014241536458333334,0.00020140574008405894,1,0.8,0.3,1,1,7,3,1,"{'colsample_bylevel': 1, 'colsample_bytree': 0.8, 'eta': 0.3, 'gamma': 1, 'max_delta_step': 1, 'max_depth': 7, 'min_child_weight': 3, 'subsample': 1}",0.9626865671641791,0.9393939393939394,0.9848484848484849,0.9623115577889447,0.018511984856536014,748
4026,0.14580225944519043,0.007363897371823405,0.0,0.0,0.9,1,0.3,1,2,5,2,0.8,"{'colsample_bylevel': 0.9, 'colsample_bytree': 1, 'eta': 0.3, 'gamma': 1, 'max_delta_step': 2, 'max_depth': 5, 'min_child_weight': 2, 'subsample': 0.8}",0.9626865671641791,0.9393939393939394,0.9848484848484849,0.9623115577889447,0.018511984856536014,748
4068,0.16662359237670898,0.007364065975298754,0.005206505457560222,0.007363110630651201,0.9,1,0.3,2,0,7,1,0.8,"{'colsample_bylevel': 0.9, 'colsample_bytree': 1, 'eta': 0.3, 'gamma': 2, 'max_delta_step': 0, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.8}",0.9626865671641791,0.9393939393939394,0.9848484848484849,0.9623115577889447,0.018511984856536014,748
1573,0.13298455874125162,0.013212975720126988,0.0,0.0,0.8,1,0.2,1,1,5,3,0.9,"{'colsample_bylevel': 0.8, 'colsample_bytree': 1, 'eta': 0.2, 'gamma': 1, 'max_delta_step': 1, 'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.9}",0.9626865671641791,0.9393939393939394,0.9848484848484849,0.9623115577889447,0.018511984856536014,748
1572,0.1384427547454834,0.007414810764824566,0.0,0.0,0.8,1,0.2,1,1,5,3,0.8,"{'colsample_bylevel': 0.8, 'colsample_bytree': 1, 'eta': 0.2, 'gamma': 1, 'max_delta_step': 1, 'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.8}",0.9701492537313433,0.9393939393939394,0.9772727272727273,0.9623115577889447,0.016404639537016614,748
4554,0.16141541798909506,0.014728525361384939,0.0,0.0,1,0.8,0.2,2,0,7,1,0.8,"{'colsample_bylevel': 1, 'colsample_bytree': 0.8, 'eta': 0.2, 'gamma': 2, 'max_delta_step': 0, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.8}",0.9552238805970149,0.9393939393939394,0.9924242424242424,0.9623115577889447,0.02217757965576378,748
4749,0.13087908426920572,0.0076235413980803145,0.0,0.0,1,0.8,0.3,1,1,7,3,0.8,"{'colsample_bylevel': 1, 'colsample_bytree': 0.8, 'eta': 0.3, 'gamma': 1, 'max_delta_step': 1, 'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.8}",0.9626865671641791,0.9393939393939394,0.9848484848484849,0.9623115577889447,0.018511984856536014,748
1561,0.1405041217803955,0.007363897371823405,0.0,0.0,0.8,1,0.2,1,0,7,2,0.9,"{'colsample_bylevel': 0.8, 'colsample_bytree': 1, 'eta': 0.2, 'gamma': 1, 'max_delta_step': 0, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 0.9}",0.9626865671641791,0.9393939393939394,0.9848484848484849,0.9623115577889447,0.018511984856536014,748
447,0.13065354029337564,0.0010082650079766143,0.0,0.0,0.8,0.8,0.3,2,1,6,3,0.8,"{'colsample_bylevel': 0.8, 'colsample_bytree': 0.8, 'eta': 0.3, 'gamma': 2, 'max_delta_step': 1, 'max_depth': 6, 'min_child_weight': 3, 'subsample': 0.8}",0.9701492537313433,0.9393939393939394,0.9772727272727273,0.9623115577889447,0.016404639537016614,748
5737,0.14446449279785156,0.007846500407849932,0.0,0.0,1,0.9,0.4,1,2,6,2,0.9,"{'colsample_bylevel': 1, 'colsample_bytree': 0.9, 'eta': 0.4, 'gamma': 1, 'max_delta_step': 2, 'max_depth': 6, 'min_child_weight': 2, 'subsample': 0.9}",0.9626865671641791,0.9393939393939394,0.9848484848484849,0.9623115577889447,0.018511984856536014,748
3406,0.14580496152242026,0.013570629731770603,0.0,0.0,0.9,0.9,0.4,0,0,5,2,0.9,"{'colsample_bylevel': 0.9, 'colsample_bytree': 0.9, 'eta': 0.4, 'gamma': 0, 'max_delta_step': 0, 'max_depth': 5, 'min_child_weight': 2, 'subsample': 0.9}",0.9626865671641791,0.9393939393939394,0.9848484848484849,0.9623115577889447,0.018511984856536014,748
1552,0.15033594767252603,0.000381545731469738,0.0,0.0,0.8,1,0.2,1,0,6,2,0.9,"{'colsample_bylevel': 0.8, 'colsample_bytree': 1, 'eta': 0.2, 'gamma': 1, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 2, 'subsample': 0.9}",0.9626865671641791,0.9393939393939394,0.9848484848484849,0.9623115577889447,0.018511984856536014,748
3399,0.13538002967834473,0.007363560238206285,0.0,0.0,0.9,0.9,0.3,2,2,7,3,0.8,"{'colsample_bylevel': 0.9, 'colsample_bytree': 0.9, 'eta': 0.3, 'gamma': 2, 'max_delta_step': 2, 'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.8}",0.9552238805970149,0.9393939393939394,0.9924242424242424,0.9623115577889447,0.02217757965576378,748
5613,0.14440361658732095,0.007925721984639101,0.0,0.0,1,0.9,0.4,0,0,7,3,0.8,"{'colsample_bylevel': 1, 'colsample_bytree': 0.9, 'eta': 0.4, 'gamma': 0, 'max_delta_step': 0, 'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.8}",0.9552238805970149,0.9393939393939394,0.9924242424242424,0.9623115577889447,0.02217757965576378,748
6330,0.1448674996693929,0.008158195420637957,0.005208810170491536,0.007366369986936045,1,1,0.4,0,0,6,2,0.8,"{'colsample_bylevel': 1, 'colsample_bytree': 1, 'eta': 0.4, 'gamma': 0, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 2, 'subsample': 0.8}",0.9701492537313433,0.9393939393939394,0.9772727272727273,0.9623115577889447,0.016404639537016614,748
405,0.16866509119669595,0.007363110630651202,0.0,0.0,0.8,0.8,0.3,2,0,5,1,0.8,"{'colsample_bylevel': 0.8, 'colsample_bytree': 0.8, 'eta': 0.3, 'gamma': 2, 'max_delta_step': 0, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.8}",0.9552238805970149,0.9393939393939394,0.9924242424242424,0.9623115577889447,0.02217757965576378,748
5632,0.13354102770487467,1.1239159602905075e-07,0.005206664403279622,0.00736333541384326,1,0.9,0.4,0,1,6,3,0.9,"{'colsample_bylevel': 1, 'colsample_bytree': 0.9, 'eta': 0.4, 'gamma': 0, 'max_delta_step': 1, 'max_depth': 6, 'min_child_weight': 3, 'subsample': 0.9}",0.9626865671641791,0.9393939393939394,0.9848484848484849,0.9623115577889447,0.018511984856536014,748
