,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_depth,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1,43.23335893948873,1.073028490424731,0.10742950439453125,0.05494863905674686,5,{'depth': 5},0.9850746268656716,0.9545454545454546,0.9848484848484849,0.9748743718592965,0.014320871360094417,1
0,37.82087333997091,1.846712303878678,0.23973997433980307,0.10825314121892934,4,{'depth': 4},0.9701492537313433,0.9545454545454546,0.9924242424242424,0.9723618090452262,0.01550538201869238,2
4,49.86433172225952,0.9500333818773706,0.03106379508972168,0.03329076565664632,8,{'depth': 8},0.9776119402985075,0.9545454545454546,0.9772727272727273,0.9698492462311558,0.010781547700711068,3
5,53.45902530352274,0.5066619000340165,0.025782267252604168,0.007192413300106372,9,{'depth': 9},0.9776119402985075,0.946969696969697,0.9848484848484849,0.9698492462311558,0.016386528156042995,3
6,53.51542870203654,15.59568906710377,0.002992391586303711,0.0029355543969740096,10,{'depth': 10},0.9776119402985075,0.946969696969697,0.9848484848484849,0.9698492462311558,0.016386528156042995,3
2,42.56341012318929,1.592375313716823,0.14093875885009766,0.07695527116838546,6,{'depth': 6},0.9701492537313433,0.946969696969697,0.9696969696969697,0.9623115577889447,0.010809054729871941,6
3,47.29292265574137,1.3861273778412033,0.02570621172587077,0.014262718324592537,7,{'depth': 7},0.9776119402985075,0.9393939393939394,0.9696969696969697,0.9623115577889447,0.01646514149408493,6
